"","x","y = x","y = -x","y = sinx","y = cosx","y = x^2","y = x^3","y = log(x)","y = sqrt(x)"
"1",-10,-10,10,0.54402111088937,-0.839071529076452,100,-1000,NA,NA
"2",-9.97997997997998,-9.97997997997998,9.97997997997998,0.527114985665424,-0.84979397025805,99.6000004008012,-994.006010005994,NA,NA
"3",-9.95995995995996,-9.95995995995996,9.95995995995996,0.509997599178129,-0.860175824371125,99.2008024040056,-988.036019939796,NA,NA
"4",-9.93993993993994,-9.93993993993994,9.93993993993994,0.492675811867414,-0.870212930495051,98.8024060096132,-982.089981657116,NA,NA
"5",-9.91991991991992,-9.91991991991992,9.91991991991992,0.475156566094568,-0.879901265879996,98.404811217624,-976.167847013668,NA,NA
"6",-9.8998998998999,-9.8998998998999,9.8998998998999,0.457446883359822,-0.88923694755919,98.0080180280381,-970.269567865161,NA,NA
"7",-9.87987987987988,-9.87987987987988,9.87987987987988,0.439553861488225,-0.898216233905172,97.6120264408553,-964.395096067309,NA,NA
"8",-9.85985985985986,-9.85985985985986,9.85985985985986,0.421484671784916,-0.906835526129387,97.2168364560757,-958.544383475821,NA,NA
"9",-9.83983983983984,-9.83983983983984,9.83983983983984,0.403246556160955,-0.915091369724537,96.8224480736993,-952.717381946411,NA,NA
"10",-9.81981981981982,-9.81981981981982,9.81981981981982,0.384846824230851,-0.922980455849109,96.4288612937262,-946.914043334788,NA,NA
"11",-9.7997997997998,-9.7997997997998,9.7997997997998,0.366292850382961,-0.93049962265351,96.0360761161562,-941.134319496666,NA,NA
"12",-9.77977977977978,-9.77977977977978,9.77977977977978,0.347592070823924,-0.937645856547309,95.6440925409894,-935.378162287755,NA,NA
"13",-9.75975975975976,-9.75975975975976,9.75975975975976,0.328751980598317,-0.944416293407036,95.2529105682259,-929.645523563766,NA,NA
"14",-9.73973973973974,-9.73973973973974,9.73973973973974,0.309780130584734,-0.950808219724096,94.8625301978655,-923.936355180412,NA,NA
"15",-9.71971971971972,-9.71971971971972,9.71971971971972,0.290684124469491,-0.956819073692308,94.4729514299084,-918.250608993404,NA,NA
"16",-9.6996996996997,-9.6996996996997,9.6996996996997,0.271471615699152,-0.962446446234642,94.0841742643544,-912.588236858453,NA,NA
"17",-9.67967967967968,-9.67967967967968,9.67967967967968,0.252150304413127,-0.967688081968755,93.6961987012037,-906.949190631271,NA,NA
"18",-9.65965965965966,-9.65965965965966,9.65965965965966,0.23272793435755,-0.972541880110912,93.3090247404562,-901.33342216757,NA,NA
"19",-9.63963963963964,-9.63963963963964,9.63963963963964,0.213212289781677,-0.977005895317963,92.9226523821118,-895.74088332306,NA,NA
"20",-9.61961961961962,-9.61961961961962,9.61961961961962,0.193611192318056,-0.981078338467006,92.5370816261707,-890.171525953454,NA,NA
"21",-9.5995995995996,-9.5995995995996,9.5995995995996,0.173932497847709,-0.98475757737245,92.1523124726328,-884.625301914463,NA,NA
"22",-9.57957957957958,-9.57957957957958,9.57957957957958,0.154184093351596,-0.988042137440173,91.7683449214981,-879.102163061798,NA,NA
"23",-9.55955955955956,-9.55955955955956,9.55955955955956,0.134373893749604,-0.990930702258523,91.3851789727666,-873.602061251172,NA,NA
"24",-9.53953953953954,-9.53953953953954,9.53953953953954,0.114509838728345,-0.993422114125918,91.0028146264383,-868.124948338295,NA,NA
"25",-9.51951951951952,-9.51951951951952,9.51951951951952,0.0945998895590291,-0.995515374514839,90.6212518825131,-862.670776178879,NA,NA
"26",-9.4994994994995,-9.4994994994995,9.4994994994995,0.074652025906679,-0.997209644472028,90.2404907409912,-857.239496628636,NA,NA
"27",-9.47947947947948,-9.47947947947948,9.47947947947948,0.054674242631982,-0.998504244954732,89.8605312018725,-851.831061543276,NA,NA
"28",-9.45945945945946,-9.45945945945946,9.45945945945946,0.0346745465870448,-0.999398657102851,89.481373265157,-846.445422778513,NA,NA
"29",-9.43943943943944,-9.43943943943944,9.43943943943944,0.0146609534063455,-0.999892522446896,89.1030169308448,-841.082532190056,NA,NA
